Sample,Width,Height,Depth,Collapse,Loop Order,Threads,Schedule,Chunk Size,Elapsed Time
32,512,288,32,disabled,YX,1,Static,0,20.0423
32,512,288,32,disabled,YX,2,Static,0,13.4814
32,512,288,32,disabled,YX,4,Static,0,8.3872
32,512,288,32,disabled,YX,8,Static,0,5.34055
32,512,288,32,disabled,YX,16,Static,0,3.84429
32,512,288,32,disabled,YX,32,Static,0,2.69565
32,512,288,32,disabled,YX,64,Static,0,1.84905
32,512,288,32,disabled,YX,128,Static,0,1.29145
32,512,288,32,disabled,YX,256,Static,0,1.06016
32,512,288,32,disabled,YX,1,Dynamic,1,19.8552
32,512,288,32,disabled,YX,2,Dynamic,1,12.4674
32,512,288,32,disabled,YX,4,Dynamic,1,7.04346
32,512,288,32,disabled,YX,8,Dynamic,1,4.39807
32,512,288,32,disabled,YX,16,Dynamic,1,3.64357
32,512,288,32,disabled,YX,32,Dynamic,1,2.51801
32,512,288,32,disabled,YX,64,Dynamic,1,1.71713
32,512,288,32,disabled,YX,128,Dynamic,1,1.31912
32,512,288,32,disabled,YX,256,Dynamic,1,1.07372
32,512,288,32,enabled,YX,1,Dynamic,1,19.9326
32,512,288,32,enabled,YX,2,Dynamic,1,12.0412
32,512,288,32,enabled,YX,4,Dynamic,1,6.84178
32,512,288,32,enabled,YX,8,Dynamic,1,4.49976
32,512,288,32,enabled,YX,16,Dynamic,1,3.97222
32,512,288,32,enabled,YX,32,Dynamic,1,2.67365
32,512,288,32,enabled,YX,64,Dynamic,1,1.77767
32,512,288,32,enabled,YX,128,Dynamic,1,1.31643
32,512,288,32,enabled,YX,256,Dynamic,1,1.06464
32,512,288,32,disabled,YX,1,Dynamic,4,19.9209
32,512,288,32,disabled,YX,2,Dynamic,4,12.4352
32,512,288,32,disabled,YX,4,Dynamic,4,7.15206
32,512,288,32,disabled,YX,8,Dynamic,4,4.47791
32,512,288,32,disabled,YX,16,Dynamic,4,3.72908
32,512,288,32,disabled,YX,32,Dynamic,4,2.64572
32,512,288,32,disabled,YX,64,Dynamic,4,1.83254
32,512,288,32,disabled,YX,128,Dynamic,4,1.48344
32,512,288,32,disabled,YX,256,Dynamic,4,1.53265
32,512,288,32,enabled,YX,1,Dynamic,4,19.9332
32,512,288,32,enabled,YX,2,Dynamic,4,12.0797
32,512,288,32,enabled,YX,4,Dynamic,4,6.86744
32,512,288,32,enabled,YX,8,Dynamic,4,4.40906
32,512,288,32,enabled,YX,16,Dynamic,4,3.76218
32,512,288,32,enabled,YX,32,Dynamic,4,2.52832
32,512,288,32,enabled,YX,64,Dynamic,4,1.71959
32,512,288,32,enabled,YX,128,Dynamic,4,1.32605
32,512,288,32,enabled,YX,256,Dynamic,4,1.06633
32,512,288,32,disabled,YX,1,Dynamic,16,19.9869
32,512,288,32,disabled,YX,2,Dynamic,16,12.5842
32,512,288,32,disabled,YX,4,Dynamic,16,7.4738
32,512,288,32,disabled,YX,8,Dynamic,16,4.94459
32,512,288,32,disabled,YX,16,Dynamic,16,3.73383
32,512,288,32,disabled,YX,32,Dynamic,16,3.39246
32,512,288,32,disabled,YX,64,Dynamic,16,2.99528
32,512,288,32,disabled,YX,128,Dynamic,16,2.71883
32,512,288,32,disabled,YX,256,Dynamic,16,3.43819
32,512,288,32,enabled,YX,1,Dynamic,16,20.0194
32,512,288,32,enabled,YX,2,Dynamic,16,12.1805
32,512,288,32,enabled,YX,4,Dynamic,16,6.95969
32,512,288,32,enabled,YX,8,Dynamic,16,4.34655
32,512,288,32,enabled,YX,16,Dynamic,16,3.62457
32,512,288,32,enabled,YX,32,Dynamic,16,2.48721
32,512,288,32,enabled,YX,64,Dynamic,16,1.73016
32,512,288,32,enabled,YX,128,Dynamic,16,1.32163
32,512,288,32,enabled,YX,256,Dynamic,16,0.926121
32,512,288,32,disabled,YX,1,Dynamic,64,19.9269
32,512,288,32,disabled,YX,2,Dynamic,64,12.7978
32,512,288,32,disabled,YX,4,Dynamic,64,8.12247
32,512,288,32,disabled,YX,8,Dynamic,64,8.01292
32,512,288,32,disabled,YX,16,Dynamic,64,7.26277
32,512,288,32,disabled,YX,32,Dynamic,64,7.2004
32,512,288,32,disabled,YX,64,Dynamic,64,6.29651
32,512,288,32,disabled,YX,128,Dynamic,64,6.03753
32,512,288,32,disabled,YX,256,Dynamic,64,10.3283
32,512,288,32,enabled,YX,1,Dynamic,64,19.9428
32,512,288,32,enabled,YX,2,Dynamic,64,12.3199
32,512,288,32,enabled,YX,4,Dynamic,64,7.03376
32,512,288,32,enabled,YX,8,Dynamic,64,4.35672
32,512,288,32,enabled,YX,16,Dynamic,64,3.59456
32,512,288,32,enabled,YX,32,Dynamic,64,2.48996
32,512,288,32,enabled,YX,64,Dynamic,64,1.73349
32,512,288,32,enabled,YX,128,Dynamic,64,1.3326
32,512,288,32,enabled,YX,256,Dynamic,64,0.927688
32,512,288,32,disabled,YX,1,Guided,1,19.8975
32,512,288,32,disabled,YX,2,Guided,1,12.4519
32,512,288,32,disabled,YX,4,Guided,1,7.11539
32,512,288,32,disabled,YX,8,Guided,1,4.44107
32,512,288,32,disabled,YX,16,Guided,1,3.56609
32,512,288,32,disabled,YX,32,Guided,1,2.53845
32,512,288,32,disabled,YX,64,Guided,1,1.79431
32,512,288,32,disabled,YX,128,Guided,1,1.35794
32,512,288,32,disabled,YX,256,Guided,1,1.13226
32,512,288,32,enabled,YX,1,Guided,1,19.9786
32,512,288,32,enabled,YX,2,Guided,1,12.4266
32,512,288,32,enabled,YX,4,Guided,1,7.06762
32,512,288,32,enabled,YX,8,Guided,1,4.3758
32,512,288,32,enabled,YX,16,Guided,1,3.57395
32,512,288,32,enabled,YX,32,Guided,1,2.50186
32,512,288,32,enabled,YX,64,Guided,1,1.74081
32,512,288,32,enabled,YX,128,Guided,1,1.30568
32,512,288,32,enabled,YX,256,Guided,1,1.06697
32,512,288,32,disabled,YX,1,Auto,1,19.9603
32,512,288,32,disabled,YX,2,Auto,1,13.3695
32,512,288,32,disabled,YX,4,Auto,1,8.44381
32,512,288,32,disabled,YX,8,Auto,1,5.47899
32,512,288,32,disabled,YX,16,Auto,1,3.83849
32,512,288,32,disabled,YX,32,Auto,1,2.6969
32,512,288,32,disabled,YX,64,Auto,1,1.85164
32,512,288,32,disabled,YX,128,Auto,1,1.29266
32,512,288,32,disabled,YX,256,Auto,1,1.06266
32,512,288,32,enabled,YX,1,Auto,1,20.3323
32,512,288,32,enabled,YX,2,Auto,1,13.3636
32,512,288,32,enabled,YX,4,Auto,1,8.51833
32,512,288,32,enabled,YX,8,Auto,1,5.31038
32,512,288,32,enabled,YX,16,Auto,1,3.81852
32,512,288,32,enabled,YX,32,Auto,1,2.68475
32,512,288,32,enabled,YX,64,Auto,1,1.88512
32,512,288,32,enabled,YX,128,Auto,1,1.3755
32,512,288,32,enabled,YX,256,Auto,1,1.1229
32,512,288,32,disabled,XY,1,Static,0,19.8546
32,512,288,32,disabled,XY,2,Static,0,12.6293
32,512,288,32,disabled,XY,4,Static,0,7.71169
32,512,288,32,disabled,XY,8,Static,0,4.98921
32,512,288,32,disabled,XY,16,Static,0,3.86556
32,512,288,32,disabled,XY,32,Static,0,2.71393
32,512,288,32,disabled,XY,64,Static,0,1.8451
32,512,288,32,disabled,XY,128,Static,0,1.32001
32,512,288,32,disabled,XY,256,Static,0,1.04938
32,512,288,32,disabled,XY,1,Dynamic,1,19.9607
32,512,288,32,disabled,XY,2,Dynamic,1,12.4124
32,512,288,32,disabled,XY,4,Dynamic,1,7.0598
32,512,288,32,disabled,XY,8,Dynamic,1,4.41003
32,512,288,32,disabled,XY,16,Dynamic,1,3.63628
32,512,288,32,disabled,XY,32,Dynamic,1,2.50534
32,512,288,32,disabled,XY,64,Dynamic,1,1.74755
32,512,288,32,disabled,XY,128,Dynamic,1,1.29912
32,512,288,32,disabled,XY,256,Dynamic,1,1.06995
32,512,288,32,enabled,XY,1,Dynamic,1,19.9701
32,512,288,32,enabled,XY,2,Dynamic,1,12.0247
32,512,288,32,enabled,XY,4,Dynamic,1,6.86868
32,512,288,32,enabled,XY,8,Dynamic,1,4.45194
32,512,288,32,enabled,XY,16,Dynamic,1,3.94514
32,512,288,32,enabled,XY,32,Dynamic,1,2.67049
32,512,288,32,enabled,XY,64,Dynamic,1,1.7742
32,512,288,32,enabled,XY,128,Dynamic,1,1.28842
32,512,288,32,enabled,XY,256,Dynamic,1,1.04444
32,512,288,32,disabled,XY,1,Dynamic,4,19.9546
32,512,288,32,disabled,XY,2,Dynamic,4,12.4086
32,512,288,32,disabled,XY,4,Dynamic,4,7.12912
32,512,288,32,disabled,XY,8,Dynamic,4,4.46883
32,512,288,32,disabled,XY,16,Dynamic,4,3.66847
32,512,288,32,disabled,XY,32,Dynamic,4,2.61396
32,512,288,32,disabled,XY,64,Dynamic,4,1.82397
32,512,288,32,disabled,XY,128,Dynamic,4,1.37576
32,512,288,32,disabled,XY,256,Dynamic,4,1.26623
32,512,288,32,enabled,XY,1,Dynamic,4,19.9175
32,512,288,32,enabled,XY,2,Dynamic,4,12.059
32,512,288,32,enabled,XY,4,Dynamic,4,6.87038
32,512,288,32,enabled,XY,8,Dynamic,4,4.40301
32,512,288,32,enabled,XY,16,Dynamic,4,3.67687
32,512,288,32,enabled,XY,32,Dynamic,4,2.54719
32,512,288,32,enabled,XY,64,Dynamic,4,1.74199
32,512,288,32,enabled,XY,128,Dynamic,4,1.27703
32,512,288,32,enabled,XY,256,Dynamic,4,1.04413
32,512,288,32,disabled,XY,1,Dynamic,16,19.863
32,512,288,32,disabled,XY,2,Dynamic,16,12.4308
32,512,288,32,disabled,XY,4,Dynamic,16,7.48568
32,512,288,32,disabled,XY,8,Dynamic,16,4.74161
32,512,288,32,disabled,XY,16,Dynamic,16,3.72108
32,512,288,32,disabled,XY,32,Dynamic,16,2.7824
32,512,288,32,disabled,XY,64,Dynamic,16,2.2138
32,512,288,32,disabled,XY,128,Dynamic,16,1.89385
32,512,288,32,disabled,XY,256,Dynamic,16,2.0669
32,512,288,32,enabled,XY,1,Dynamic,16,19.8294
32,512,288,32,enabled,XY,2,Dynamic,16,12.2025
32,512,288,32,enabled,XY,4,Dynamic,16,6.98074
32,512,288,32,enabled,XY,8,Dynamic,16,4.36838
32,512,288,32,enabled,XY,16,Dynamic,16,3.54506
32,512,288,32,enabled,XY,32,Dynamic,16,2.5367
32,512,288,32,enabled,XY,64,Dynamic,16,1.74425
32,512,288,32,enabled,XY,128,Dynamic,16,1.28294
32,512,288,32,enabled,XY,256,Dynamic,16,0.910449
32,512,288,32,disabled,XY,1,Dynamic,64,19.9797
32,512,288,32,disabled,XY,2,Dynamic,64,12.5102
32,512,288,32,disabled,XY,4,Dynamic,64,7.34335
32,512,288,32,disabled,XY,8,Dynamic,64,5.1202
32,512,288,32,disabled,XY,16,Dynamic,64,5.01247
32,512,288,32,disabled,XY,32,Dynamic,64,4.37679
32,512,288,32,disabled,XY,64,Dynamic,64,4.18993
32,512,288,32,disabled,XY,128,Dynamic,64,3.61682
32,512,288,32,disabled,XY,256,Dynamic,64,6.1104
32,512,288,32,enabled,XY,1,Dynamic,64,19.9295
32,512,288,32,enabled,XY,2,Dynamic,64,12.341
32,512,288,32,enabled,XY,4,Dynamic,64,7.07333
32,512,288,32,enabled,XY,8,Dynamic,64,4.39001
32,512,288,32,enabled,XY,16,Dynamic,64,3.55113
32,512,288,32,enabled,XY,32,Dynamic,64,2.54392
32,512,288,32,enabled,XY,64,Dynamic,64,1.7565
32,512,288,32,enabled,XY,128,Dynamic,64,1.29568
32,512,288,32,enabled,XY,256,Dynamic,64,0.923117
32,512,288,32,disabled,XY,1,Guided,1,19.8916
32,512,288,32,disabled,XY,2,Guided,1,12.4934
32,512,288,32,disabled,XY,4,Guided,1,7.1188
32,512,288,32,disabled,XY,8,Guided,1,4.43512
32,512,288,32,disabled,XY,16,Guided,1,3.58747
32,512,288,32,disabled,XY,32,Guided,1,2.5479
32,512,288,32,disabled,XY,64,Guided,1,1.75772
32,512,288,32,disabled,XY,128,Guided,1,1.30489
32,512,288,32,disabled,XY,256,Guided,1,1.1022
32,512,288,32,enabled,XY,1,Guided,1,19.8663
32,512,288,32,enabled,XY,2,Guided,1,12.4641
32,512,288,32,enabled,XY,4,Guided,1,7.10722
32,512,288,32,enabled,XY,8,Guided,1,4.39665
32,512,288,32,enabled,XY,16,Guided,1,3.52908
32,512,288,32,enabled,XY,32,Guided,1,2.51521
32,512,288,32,enabled,XY,64,Guided,1,1.73286
32,512,288,32,enabled,XY,128,Guided,1,1.28156
32,512,288,32,enabled,XY,256,Guided,1,1.05822
32,512,288,32,disabled,XY,1,Auto,1,19.9721
32,512,288,32,disabled,XY,2,Auto,1,12.6009
32,512,288,32,disabled,XY,4,Auto,1,7.7799
32,512,288,32,disabled,XY,8,Auto,1,5.13313
32,512,288,32,disabled,XY,16,Auto,1,3.86508
32,512,288,32,disabled,XY,32,Auto,1,2.76723
32,512,288,32,disabled,XY,64,Auto,1,1.84802
32,512,288,32,disabled,XY,128,Auto,1,1.31952
32,512,288,32,disabled,XY,256,Auto,1,1.05145
32,512,288,32,enabled,XY,1,Auto,1,19.8516
32,512,288,32,enabled,XY,2,Auto,1,12.519
32,512,288,32,enabled,XY,4,Auto,1,7.6852
32,512,288,32,enabled,XY,8,Auto,1,4.96228
32,512,288,32,enabled,XY,16,Auto,1,3.83251
32,512,288,32,enabled,XY,32,Auto,1,2.75582
32,512,288,32,enabled,XY,64,Auto,1,1.83334
32,512,288,32,enabled,XY,128,Auto,1,1.31439
32,512,288,32,enabled,XY,256,Auto,1,1.05211